31,朝ぼらけ 有明の月と見るまでに,吉野の里に 降れる白雪,あさぼらけ ありあけのつきと みるまでに,よしののさとに ふれるしらゆき,坂上是則,さかのうえのこれのり,1
32,山川に 風のかけたる しがらみは,ながれもあへぬ もみぢなりけり,やまがはに かぜのかけたる しがらみは,ながれもあへぬ もみぢなりけり,春道列樹,はるみちのつらき,1
33,久方の 光のどけき 春の日に,しづ心なく 花の散るらむ,ひさかたの ひかりのどけき はるのひに,しづこころなく はなのちるらむ,紀友則,きのとものり,1
34,誰をかも しる人にせむ 高砂の,松も昔の 友ならなくに,たれをかも しるひとにせむ たかさごの,まつもむかしの ともならなくに,藤原興風,ふじわらのおきかぜ,1
35,人はいさ 心も知らず ふるさとは,花ぞ昔の 香に匂ひける,ひとはいさ こころもしらず ふるさとは,はなぞむかしの かににほひける,紀貫之,きのつらゆき,1
36,夏の夜は まだ宵ながら あけぬるを,雲のいづこに 月やどるらむ,なつのよは まだよひながら あけぬるを,くものいづこに つきやどるらむ,清原深養父,きよはらのふかやぶ,1
37,白露に 風の吹きしく 秋の野は,つらぬきとめぬ 玉ぞ散りける,しらつゆに かぜのふきしく あきののは,つらぬきとめぬ たまぞちりける,文屋朝康,ふんやのあさやす,1
38,忘らるる 身をば思はず ちかひてし,人の命の 惜しくもあるかな,わすらるる みをばおもはず ちかひてし,ひとのいのちの をしくもあるかな,右近,うこん,2
39,浅茅生の 小野の篠原 しのぶれど,あまりてなどか 人の恋しき,あさぢふの をののしのはら しのぶれど,あまりてなどか ひとのこひしき,参議等,さんぎひとし,1
40,しのぶれど 色に出でにけり 我が恋は,物や思ふと 人の問ふまで,しのぶれど いろにいでにけり わがこひは,ものやおもふと ひとのとふまで,平兼盛,たいらのかねもり,1
41,恋すてふ 我が名はまだき 立ちにけり,人しれずこそ 思ひそめしか,こひすてふ わがなはまだき たちにけり,ひとしれずこそ おもひそめしか,壬生忠見,みぶのただみ,1
42,ちぎりきな かたみに袖を しぼりつつ,末の松山 波こさじとは,ちぎりきな かたみにそでを しぼりつつ,すゑのまつやま なみこさじとは,清原元輔,きよはらのもとすけ,1
43,あひみての のちの心に くらぶれば,昔は物を 思はざりけり,あひみての のちのこころに くらぶれば,むかしはものを おもはざりけり,権中納言敦忠,ごんちゅうなごんあつただ,1
44,あふことの たえてしなくば なかなかに,人をも身をも 恨みざらまし,あふことの たえてしなくば なかなかに,ひとをもみをも うらみざらまし,中納言朝忠,ちゅうなごんあさただ,1
45,あはれとも いふべき人は 思ほえで,身のいたづらに なりぬべきかな,あはれとも いふべきひとは おもほえで,みのいたづらに なりぬべきかな,謙徳公,けんとくこう,1
46,由良のとを 渡る舟人 かぢをたえ,ゆくへも知らぬ 恋の道かな,ゆらのとを わたるふなびと かぢをたえ,ゆくへもしらぬ こひのみちかな,曽禰好忠,そねのよしただ,1
47,八重むぐら しげれる宿の さびしきに,人こそ見えね 秋は来にけり,やへむぐら しげれるやどの さびしきに,ひとこそみえね あきはきにけり,恵慶法師,えぎょうほうし,0
48,風をいたみ 岩うつ波の おのれのみ,くだけて物を 思ふころかな,かぜをいたみ いはうつなみの おのれのみ,くだけてものを おもふころかな,源重之,みなもとのしげゆき,1
49,みかきもり 衛士のたく火の 夜はもえ,昼は消えつつ 物をこそ思へ,みかきもり ゑじのたくひの よるはもえ,ひるはきえつつ ものをこそおもへ,大中臣能宣朝臣,おおなかとみのよしのぶあそん,1
50,君がため 惜しからざりし いのちさへ,長くもがなと 思ひけるかな,きみがため をしからざりし いのちさへ,ながくもがなと おもひけるかな,藤原義孝,ふじわらのよしたか,1
51,かくとだに えやはいぶきの さしも草,さしもしらじな もゆる思ひを,かくとだに えやはいぶきの さしもぐさ,さしもしらじな もゆるおもひを,藤原実方朝臣,ふじわらのさねかたあそん,1
52,あけぬれば 暮るるものとは 知りながら,なほうらめしき 朝ぼらけかな,あけぬれば くるるものとは しりながら,なほうらめしき あさぼらけかな,藤原道信朝臣,ふじわらのみちのぶあそん,1
53,なげきつつ ひとりぬる夜の あくるまは,いかに久しき ものとかはしる,なげきつつ ひとりぬるよの あくるまは,いかにひさしき ものとかはしる,右大将道綱母,うだいしょうみちつなのはは,2
54,忘れじの ゆく末までは かたければ,今日をかぎりの いのちともがな,わすれじの ゆくすゑまでは かたければ,けふをかぎりの いのちともがな,儀同三司母,ぎどうさんしのはは,2
55,滝の音は たえて久しく なりぬれど,名こそ流れて なほ聞こえけれ,たきのおとは たえてひさしく なりぬれど,なこそながれて なほきこえけれ,大納言公任,だいなごんきんとう,1
56,あらざらむ この世のほかの 思ひ出に,いまひとたびの あふこともがな,あらざらむ このよのほかの おもひでに,いまひとたびの あふこともがな,和泉式部,いずみしきぶ,2
57,めぐりあひて 見しやそれとも わかぬまに,雲がくれにし 夜半の月かな,めぐりあひて みしやそれとも わかぬまに,くもがくれにし よはのつきかな,紫式部,むらさきしきぶ,2
58,ありま山 ゐなの笹原 風吹けば,いでそよ人を 忘れやはする,ありまやま ゐなのささはら かぜふけば,いでそよひとを わすれやはする,大弐三位,だいにのさんみ,2
59,やすらはで 寝なましものを さ夜ふけて,かたぶくまでの 月を見しかな,やすらはで ねなましものを さよふけて,かたぶくまでの つきをみしかな,赤染衛門,あかぞめえもん,2
60,大江山 いく野の道の 遠ければ,まだふみもみず 天の橋立,おほえやま いくののみちの とほければ,まだふみもみず あまのはしだて,小式部内侍,こしきぶのないし,2
